201708sci:/work/03946/hetdex/maverick/20170820/virus/virus0000006/exp03/virus/20170820T094021.3_105LL_sci.fits DEX00069_0_000_E 366.398698752 402.712498247 57985.4030252802 1.6573 0 152.703661  -95.013842 18.4988888888889
201708sci:/work/03946/hetdex/maverick/20170830/virus/virus0000014/exp03/virus/20170830T081311.0_105LL_sci.fits DEX00033_0_000_E 367.850201344 404.285097095 57995.3424892938 1.0093 0 152.680029  12.99333 16.43
201709sci:/work/03946/hetdex/maverick/20170920/virus/virus0000007/exp03/virus/20170920T061910.1_105LL_sci.fits DEX00001_0_000_E 367.499377408 403.88495086 58016.2633121498 0.4333 0 152.6694  -109.99135 20.6683333333333
201709sci:/work/03946/hetdex/maverick/20170920/virus/virus0000008/exp03/virus/20170920T073141.2_105LL_sci.fits DEX00068_0_000_E 366.899290624 403.487533751 58016.3136723707 1.6393 0 152.696792  -110.003908 20.6422222222222
201709sci:/work/03946/hetdex/maverick/20170920/virus/virus0000009/exp03/virus/20170920T075913.1_105LL_sci.fits DEX00094_0_000_E 367.699617536 404.388029502 58016.3327910067 2.1073 0 152.714946  -109.995536 19.9016666666667
201709sci:/work/03946/hetdex/maverick/20170920/virus/virus0000010/exp03/virus/20170920T091420.4_105LL_sci.fits DEX00030_1_000_W 366.499531776 402.608088313 58016.3849587142 0.9553 0 207.321601  -110.024838 19.9633333333333
201709sci:/work/03946/hetdex/maverick/20170920/virus/virus0000012/exp03/virus/20170920T100411.2_105LL_sci.fits DEX00078_1_000_W 366.348812544 402.786536172 58016.4195750048 1.8193 0 207.296882  -110.008094 19.4422222222222
201709sci:/work/03946/hetdex/maverick/20170921/virus/virus0000018/exp03/virus/20170921T061304.0_105LL_sci.fits DEX00001_0 367.449142272 403.686490851 58017.2590750353 0.4333 0 152.667847  -110.029024 20.6772222222222
201709sci:/work/03946/hetdex/maverick/20170921/virus/virus0000019/exp03/virus/20170921T063650.7_105LL_sci.fits DEX00024_0_000_E 366.999295744 403.511036659 58017.275587827 0.8473 0 152.675777  -110.01228 20.4483333333333
201709sci:/work/03946/hetdex/maverick/20170921/virus/virus0000020/exp03/virus/20170921T070125.2_105LL_sci.fits DEX00046_0_000_E 367.749291008 404.090179572 58017.2926531876 1.2433 0 152.68469  -110.016466 20.1577777777778
201709sci:/work/03946/hetdex/maverick/20170921/virus/virus0000021/exp03/virus/20170921T072613.1_105LL_sci.fits DEX00070_0_000_E 366.499167488 402.785575953 58017.3098742831 1.6753 0 152.698673  -110.003908 19.8005555555556
201709sci:/work/03946/hetdex/maverick/20170921/virus/virus0000022/exp03/virus/20170921T075045.1_105LL_sci.fits DEX00070_0_000_E 367.399245056 403.838735072 58017.3269114913 2.0893 0 152.714864  -110.003908 19.5372222222222
201709sci:/work/03946/hetdex/maverick/20170921/virus/virus0000024/exp03/virus/20170921T083213.4_105LL_sci.fits DEX00001_1_000_W 21.449502464 57.989202612 58017.3557108701 0.4333 0 207.332651  -109.999722 19.1594444444444
201709sci:/work/03946/hetdex/maverick/20170921/virus/virus0000025/exp03/virus/20170921T085208.6_105LL_sci.fits DEX00017_1_000_W 366.849600512 404.650813441 58017.3695450961 0.7213 0 207.332651  -110.01228 19.2444444444444
