201702sci:/work/03946/hetdex/maverick/20170221/virus/virus0000016/exp03/virus/20170221T085657.4_093LL_sci.fits EGS17_E 366.999790336 399.916121501 57805.3728873385 14.3298 53.058801 65.284829  -110.024838 6.77277777777778
201702sci:/work/03946/hetdex/maverick/20170222/virus/virus0000012/exp03/virus/20170222T085506.9_093LL_sci.fits EGS25_E 368.049303808 400.56511232 57806.3716085521 14.3222 52.953865 65.515133  -110.020652 13.9805555555556
201702sci:/work/03946/hetdex/maverick/20170224/virus/virus0000007/exp03/virus/20170224T083207.6_093LL_sci.fits EGS01_E4027 367.899469824 401.087867819 57808.3556446638 14.3141 52.888769 65.656459  -110.024838 10.0961111111111
201702sci:/work/03946/hetdex/maverick/20170225/virus/virus0000011/exp03/virus/20170225T090006.4_093LL_sci.fits EGS18_E 366.598854144 397.611817838 57809.3750744765 -999999.9 -999999.9 108.781608  -109.999722 7.27055555555555
201703sci:/work/03946/hetdex/maverick/20170303/virus/virus0000014/exp03/virus/20170303T075618.0_105LL_sci.fits EGS18_E 367.599415296 399.539358774 57815.3307644827 14.3152 52.880381 65.673538  -110.037396 3.84888888888889
201703sci:/work/03946/hetdex/maverick/20170305/virus/virus0000009/exp03/virus/20170305T083016.0_105LL_sci.fits EGS33_E 366.749260288 400.811981076 57817.3543525683 14.3299 53.039781 65.326339  -110.024838 9.48444444444444
201703sci:/work/03946/hetdex/maverick/20170322/virus/virus0000011/exp03/virus/20170322T071013.2_105LL_sci.fits EGS32_E 366.648284928 399.181038051 57834.2987644868 14.329 53.029156 65.349187  -105.014196 20.0827777777778
201703sci:/work/03946/hetdex/maverick/20170322/virus/virus0000018/exp03/virus/20170322T112456.3_105LL_sci.fits EGS34_W 366.651576064 398.880646133 57834.4756522528 14.3337 52.873172 294.34726  -105.001638 18.0944444444444
201703sci:/work/03946/hetdex/maverick/20170322/virus/virus0000019/exp03/virus/20170322T114811.4_105LL_sci.fits EGS33_W 367.24925184 399.631669491 57834.4917995329 14.3327 52.862511 294.322257  -105.018382 18.5616666666667
201703sci:/work/03946/hetdex/maverick/20170325/virus/virus0000005/exp03/virus/20170325T063347.4_105LL_sci.fits EGS02_EVIRUS 367.349248 399.658079146 57837.2734653647 14.315 52.9003 65.628852  -105.018382 8.46944444444444
201703sci:/work/03946/hetdex/maverick/20170325/virus/virus0000006/exp03/virus/20170325T070318.7_105LL_sci.fits EGS08_EVIRUS 367.299301888 399.628429636 57837.2939665169 14.3209 52.964058 65.487581  -105.014196 7.69277777777778
201703sci:/work/03946/hetdex/maverick/20170326/virus/virus0000008/exp03/virus/20170326T070344.5_105LL_sci.fits EGS11_E 367.598166528 400.857787485 57838.2942652679 14.3238 52.995942 65.420293  -105.01001 15.5566666666667
201703sci:/work/03946/hetdex/maverick/20170326/virus/virus0000012/exp03/virus/20170326T105655.6_105LL_sci.fits EGSC04_W 366.749353984 398.604294988 57838.456199307 14.3061 52.713 293.997749  -105.001638 13.7166666666667
201703sci:/work/03946/hetdex/maverick/20170326/virus/virus0000013/exp03/virus/20170326T112454.9_105LL_sci.fits EGSC01_W 367.550204928 399.830461458 57838.4756365214 14.3067 52.7 293.969505  -105.005824 12.3572222222222
201703sci:/work/03946/hetdex/maverick/20170327/virus/virus0000011/exp03/virus/20170327T104930.0_105LL_sci.fits EGSC02_W 367.850238464 399.857402444 57839.4510421329 14.3075 52.718003 294.007542  -105.005824 12.4044444444444
201703sci:/work/03946/hetdex/maverick/20170327/virus/virus0000012/exp03/virus/20170327T111506.9_105LL_sci.fits EGSC11_W 367.349664512 400.654817914 57839.4688309813 14.3267 52.886 294.3725  -105.005824 12.0755555555556
201703sci:/work/03946/hetdex/maverick/20170328/virus/virus0000010/exp03/virus/20170328T063410.7_105LL_sci.fits EGS19_E 367.097860352 399.630256671 57840.2737354976 14.3162 52.891008 65.648314  -105.001638 14.5966666666667
201703sci:/work/03946/hetdex/maverick/20170328/virus/virus0000011/exp03/virus/20170328T070237.5_105LL_sci.fits EGS03_E 366.149797888 397.757140295 57840.2934906995 14.3159 52.910925 65.602138  -105.022568 14.135
201703sci:/work/03946/hetdex/maverick/20170328/virus/virus0000018/exp03/virus/20170328T104802.6_105LL_sci.fits EGSC03_W 367.949773312 401.530107603 57840.4500303348 14.3081 52.706 293.983232  -105.01001 14.5361111111111
201703sci:/work/03946/hetdex/maverick/20170328/virus/virus0000019/exp03/virus/20170328T111554.2_105LL_sci.fits EGSC08_W 366.699415552 398.60521188 57840.4693781794 14.3155 52.803 294.19411  -105.01001 14.2161111111111
201703sci:/work/03946/hetdex/maverick/20170330/virus/virus0000006/exp03/virus/20170330T065533.6_105LL_sci.fits EGS28_E-000 367.397744128 400.232843382 57842.2885837811 14.3251 52.98665 65.438909  -105.014196 4.59277777777778
201703sci:/work/03946/hetdex/maverick/20170331/virus/virus0000007/exp03/virus/20170331T061206.2_105LL_sci.fits EGS21_E-000_000_E 366.500144896 398.434110206 57843.2584058968 14.3182 52.912258 65.600667  -105.005824 15.1188888888889
201703sci:/work/03946/hetdex/maverick/20170331/virus/virus0000008/exp03/virus/20170331T064124.5_105LL_sci.fits EGS34_E-000_000_E 367.44902016 399.780315068 57843.2787560523 14.3309 53.050408 65.299616  -104.997452 15.4138888888889
201703sci:/work/03946/hetdex/maverick/20170331/virus/virus0000013/exp03/virus/20170331T111415.8_105LL_sci.fits EGSC06_W-000_000_W 366.699188224 398.530791122 57843.4682386746 14.3168 52.808003 294.205173  -105.001638 14.8544444444444
201704sci:/work/03946/hetdex/maverick/20170418/virus/virus0000005/exp03/virus/20170418T051119.6_105LL_sci.fits EGSN38_E-000_000_E 367.499393024 403.954828657 57861.2161995112 14.3941 53.3 64.758512  12.19799 15.8927777777778
201704sci:/work/03946/hetdex/maverick/20170418/virus/virus0000006/exp03/virus/20170418T053801.3_105LL_sci.fits EGSN1_E-000_000_E 367.350292992 402.332590184 57861.2347374675 14.2833 52.3 66.909993  12.264966 16.1872222222222
201704sci:/work/03946/hetdex/maverick/20170419/virus/virus0000006/exp03/virus/20170419T053144.4_105LL_sci.fits EGS_SN1-000_000_E 366.749349632 398.707336448 57862.2303760755 14.3015 52.695 66.068086  -110.024838 19.6816666666667
201704sci:/work/03946/hetdex/maverick/20170420/virus/virus0000016/exp03/virus/20170420T092804.4_105LL_sci.fits EGSN7_W-000_000_W 366.300207104 398.30409592 57863.3944962644 14.2667 53.3 295.284168  -110.016466 20.2166666666667
201704sci:/work/03946/hetdex/maverick/20170420/virus/virus0000017/exp03/virus/20170420T095743.6_105LL_sci.fits EGSN26_W-000_000_W 367.899940352 400.053773382 57863.4150882345 14.3405 52.3 293.128075  -110.01228 19.7944444444444
201704sci:/work/03946/hetdex/maverick/20170421/virus/virus0000016/exp03/virus/20170421T094515.3_105LL_sci.fits EGSN6_W 368.096899072 401.331920746 57864.4064273485 14.2667 53.1333 294.914696  -110.016466 17.3311111111111
201704sci:/work/03946/hetdex/maverick/20170421/virus/virus0000017/exp03/virus/20170421T100621.5_105LL_sci.fits EGSN6_W 369.6980928 401.626810459 57864.421082777 14.2667 53.1333 294.914696  -110.01228 16.8577777777778
201704sci:/work/03946/hetdex/maverick/20170423/virus/virus0000008/exp03/virus/20170423T043818.7_105LL_sci.fits EGSN1_E 366.749265152 399.630400038 57866.1932723336 14.2667 52.45 66.591858  -110.016466 6.76611111111111
201704sci:/work/03946/hetdex/maverick/20170423/virus/virus0000009/exp03/virus/20170423T050409.0_105LL_sci.fits EGSN45_E 369.800172288 401.602550886 57866.2112153242 14.3774 53.45 64.411961  -110.029024 6.27333333333333
201704sci:/work/03946/hetdex/maverick/20170423/virus/virus0000013/exp03/virus/20170423T085737.4_105LL_sci.fits EGSN5_W 367.199418368 399.058790742 57866.3733501588 14.2667 52.9667 294.54933  -110.016466 4.50722222222222
201704sci:/work/03946/hetdex/maverick/20170423/virus/virus0000014/exp03/virus/20170423T092448.3_105LL_sci.fits EGSN14_W 366.749155328 399.009719864 57866.3922263281 14.2851 53.3 295.281758  -110.029024 4.965
201704sci:/work/03946/hetdex/maverick/20170423/virus/virus0000015/exp03/virus/20170423T095203.9_105LL_sci.fits EGSN28_W 366.899945216 398.98089349 57866.4111562967 14.3405 52.6333 293.829025  -110.01228 5.01
201704sci:/work/03946/hetdex/maverick/20170423/virus/virus0000016/exp03/virus/20170423T101700.1_105LL_sci.fits EGSN39_W 367.54923136 400.082340214 57866.42847344 14.3774 52.3 293.127631  -110.016466 5.00111111111111
201704sci:/work/03946/hetdex/maverick/20170424/virus/virus0000007/exp03/virus/20170424T035652.7_105LL_sci.fits EGSN2_E 367.250003712 399.105039596 57867.1644990388 14.2667 52.616669 66.236187  -110.024838 13.3633333333333
201704sci:/work/03946/hetdex/maverick/20170424/virus/virus0000008/exp03/virus/20170424T042228.7_105LL_sci.fits EGSN3_E 367.798128896 399.807474332 57867.1822771016 14.2667 52.783333 65.877576  -110.003908 15.7188888888889
201704sci:/work/03946/hetdex/maverick/20170424/virus/virus0000009/exp03/virus/20170424T044635.7_105LL_sci.fits EGSN8_E 367.19970688 399.308269225 57867.1990247937 14.2851 52.45 66.591523  -110.003908 14.635
201704sci:/work/03946/hetdex/maverick/20170424/virus/virus0000010/exp03/virus/20170424T051153.6_105LL_sci.fits EGSN44_E 367.948740608 399.856454609 57867.2165930569 14.3774 53.283333 64.78431  -109.999722 15.4738888888889
201704sci:/work/03946/hetdex/maverick/20170425/virus/virus0000003/exp03/virus/20170425T044024.0_105LL_sci.fits EGSN34_E_000_E 30.499262208 62.329433125 57868.1947227921 14.359 52.783333 65.887949  -109.978792 20.3438888888889
201704sci:/work/03946/hetdex/maverick/20170427/virus/virus0000003/exp03/virus/20170427T035435.3_105LL_sci.fits EGSN4_E_000_E 366.59937664 398.281708769 57870.1629094211 14.2667 52.95 65.516041  -110.003908 14.6772222222222
