201701sci:/work/03946/hetdex/maverick/20170126/virus/virus0000002/exp03/virus/20170126T094342.0_105LL_sci.fits GN1_E 6.90091264 398.340199 57779.4053481249 12.6012 62.274383 36.570162  -105.035126 -0.492222222222224
201701sci:/work/03946/hetdex/maverick/20170126/virus/virus0000003/exp03/virus/20170126T100820.6_105LL_sci.fits GN4_E 7.050542848 399.914027 57779.4224615721 12.604 62.276033 36.569993  -105.01001 -0.62888888888889
201701sci:/work/03946/hetdex/maverick/20170129/virus/virus0000003/exp03/virus/20170129T095809.9_105LL_sci.fits GN3_E_000_E 365.249304576 395.061932 57782.415392776 12.6029 62.265465 36.615342  -105.03094 3.95888888888889
201701sci:/work/03946/hetdex/maverick/20170129/virus/virus0000008/exp03/virus/20170129T123415.0_105LL_sci.fits GN3_W_000_W 365.399399936 395.088041 57782.5237848503 12.6052 62.150427 322.840568  -105.022568 3.66611111111111
201701sci:/work/03946/hetdex/maverick/20170130/virus/virus0000021/exp03/virus/20170130T082631.2_105LL_sci.fits GN7_E-000 365.100744704 394.811015 57783.351750744 12.5966 62.30113 36.439064  -105.026754 5.14777777777778
201701sci:/work/03946/hetdex/maverick/20170130/virus/virus0000022/exp03/virus/20170130T085300.5_105LL_sci.fits GN5_E-000 364.946838784 395.111065 57783.3701456785 12.5982 62.292212 36.483293  -105.035126 5.24722222222222
201701sci:/work/03946/hetdex/maverick/20170130/virus/virus0000027/exp03/virus/20170130T122248.0_105LL_sci.fits GN8_W-000 364.899613952 394.661644 57783.5158340666 12.6002 62.197291 323.068363  -105.014196 6.36888888888889
201701sci:/work/03946/hetdex/maverick/20170131/virus/virus0000033/exp03/virus/20170131T091725.8_105LL_sci.fits GN8_E-000 364.946949376 394.688463 57784.3871048288 12.5979 62.311703 36.386672  -105.039312 7.37777777777778
201701sci:/work/03946/hetdex/maverick/20170131/virus/virus0000035/exp03/virus/20170131T100921.2_105LL_sci.fits GN2_E-000 365.100216576 394.812588 57784.4231627346 12.6025 62.28495 36.517  -105.035126 7.18555555555555
201701sci:/work/03946/hetdex/maverick/20170131/virus/virus0000037/exp03/virus/20170131T120435.6_105LL_sci.fits GN7_W-000 365.299160064 395.162157 57784.5031904597 12.5989 62.186575 323.015484  -105.035126 7.43222222222222
201701sci:/work/03946/hetdex/maverick/20170131/virus/virus0000038/exp03/virus/20170131T122835.7_105LL_sci.fits GN6_W-000 365.349269248 395.038479 57784.5198583351 12.6017 62.188253 323.015484  -105.022568 7.505
201702sci:/work/03946/hetdex/maverick/20170202/virus/virus0000006/exp03/virus/20170202T113722.5_093LL_sci.fits GN5_W 364.948506368 395.058954 57786.4842884149 12.6005 62.177537 322.969032  -105.064428 10.79
201702sci:/work/03946/hetdex/maverick/20170202/virus/virus0000007/exp03/virus/20170202T120448.6_093LL_sci.fits GN1_W 365.099498752 395.315577 57786.503340798 12.6036 62.159466 322.880566  -105.014196 10.2377777777778
201702sci:/work/03946/hetdex/maverick/20170202/virus/virus0000008/exp03/virus/20170202T123724.7_093LL_sci.fits GN4_W 365.299929856 394.98599 57786.5259805666 12.6064 62.161138 322.892503  -105.05187 9.63277777777778
201702sci:/work/03946/hetdex/maverick/20170205/virus/virus0000012/exp03/virus/20170205T091726.4_093LL_sci.fits GN6_E 364.849299456 394.885601763 57789.3871115157 12.5994 62.302785 36.430081  -100.162622 13.3394444444444
201702sci:/work/03946/hetdex/maverick/20170221/virus/virus0000012/exp03/virus/20170221T070123.4_093LL_sci.fits GN7b_E 367.599188224 401.290793778 57805.292632136 12.5966 62.30113 36.4333  -110.029024 7.19
201702sci:/work/03946/hetdex/maverick/20170221/virus/virus0000013/exp03/virus/20170221T072837.1_093LL_sci.fits GN5b_E 366.70036608 398.413635005 57805.3115407028 12.5982 62.292212 36.478887  -110.024838 7.04833333333333
201702sci:/work/03946/hetdex/maverick/20170221/virus/virus0000014/exp03/virus/20170221T075646.9_093LL_sci.fits GN8b_E 367.099248384 398.910221326 57805.331099493 12.5979 62.311703 36.377514  -110.01228 6.74944444444445
201702sci:/work/03946/hetdex/maverick/20170222/virus/virus0000010/exp03/virus/20170222T073549.5_093LL_sci.fits GN1b_E 367.899081728 399.936232758 57806.3165460369 12.6012 62.274383 36.566268  -110.008094 14.1011111111111
201702sci:/work/03946/hetdex/maverick/20170222/virus/virus0000011/exp03/virus/20170222T081646.2_093LL_sci.fits GN6b_E 367.400393472 400.388681769 57806.3449792303 12.5994 62.302785 36.42652  -110.03321 14.0733333333333
201702sci:/work/03946/hetdex/maverick/20170224/virus/virus0000005/exp03/virus/20170224T071626.2_093LL_sci.fits GN3b_E 366.949329408 400.960261184 57808.3030821448 12.6029 62.265465 36.60976  -110.029024 10.9838888888889
201702sci:/work/03946/hetdex/maverick/20170224/virus/virus0000006/exp03/virus/20170224T075958.1_093LL_sci.fits GN2b_E 366.299438592 397.937435121 57808.3333116593 12.6025 62.28495 36.513104  -110.016466 10.4844444444444
201702sci:/work/03946/hetdex/maverick/20170225/virus/virus0000014/exp03/virus/20170225T104306.5_093LL_sci.fits GN8b_W 366.599316992 399.961550401 57809.4466037881 12.6002 62.197291 323.071731  -110.029024 5.51444444444444
201702sci:/work/03946/hetdex/maverick/20170225/virus/virus0000015/exp03/virus/20170225T110843.6_093LL_sci.fits GN7b_W 367.701541888 399.888199399 57809.4643936385 12.5989 62.186575 323.018514  -110.020652 5.69722222222222
201702sci:/work/03946/hetdex/maverick/20170225/virus/virus0000016/exp03/virus/20170225T113350.7_093LL_sci.fits GN1b_W 366.801363968 398.363999567 57809.4818371674 12.6036 62.159466 322.885105  -110.020652 5.25722222222222
201703sci:/work/03946/hetdex/maverick/20170301/virus/virus0000006/exp03/virus/20170301T064619.8_105LL_sci.fits GN3_E 366.649686784 401.037549079 57813.2821738357 12.6028 62.265925 36.606376  -110.045768 10.2338888888889
201703sci:/work/03946/hetdex/maverick/20170301/virus/virus0000007/exp03/virus/20170301T071338.8_105LL_sci.fits GN1_E 366.398128896 397.961745116 57813.3011437301 12.6011 62.274842 36.560853  -110.029024 9.10222222222222
201703sci:/work/03946/hetdex/maverick/20170301/virus/virus0000008/exp03/virus/20170301T073813.3_105LL_sci.fits GN1_E_b 367.85022464 401.762004999 57813.3182105673 12.6011 62.274842 36.560853  -110.020652 8.37277777777778
201703sci:/work/03946/hetdex/maverick/20170301/virus/virus0000009/exp03/virus/20170301T080144.5_105LL_sci.fits GN5_E 367.399753728 400.662413127 57813.3345430689 12.5981 62.292671 36.469738  -110.01228 7.59277777777778
201703sci:/work/03946/hetdex/maverick/20170301/virus/virus0000012/exp03/virus/20170301T094700.3_105LL_sci.fits GN7_Wa 367.449526272 399.312260232 57813.4076434355 12.6001 62.196434 323.0655  -110.029024 6.71833333333333
201703sci:/work/03946/hetdex/maverick/20170301/virus/virus0000013/exp03/virus/20170301T101412.3_105LL_sci.fits GN7_Wa 366.649719296 400.561468446 57813.4265323388 12.5988 62.185718 323.016494  -110.037396 6.35222222222222
201703sci:/work/03946/hetdex/maverick/20170301/virus/virus0000014/exp03/virus/20170301T103627.5_105LL_sci.fits GN7_Wb 367.29842304 398.636609349 57813.441985161 12.5988 62.185718 323.016494  -110.003908 6.11277777777778
201703sci:/work/03946/hetdex/maverick/20170301/virus/virus0000015/exp03/virus/20170301T110059.1_105LL_sci.fits GN6_Wa 366.499078912 400.786243794 57813.4590184558 12.6016 62.187395 323.016325  -110.03321 5.835
201703sci:/work/03946/hetdex/maverick/20170301/virus/virus0000016/exp03/virus/20170301T112702.1_105LL_sci.fits GN6_Wb 366.799066112 398.192126992 57813.477108493 12.6016 62.187395 323.016157  -110.024838 5.71722222222222
201703sci:/work/03946/hetdex/maverick/20170303/virus/virus0000012/exp03/virus/20170303T070207.7_105LL_sci.fits GN4b_E 366.848363776 398.737164481 57815.2931450265 12.604 62.276033 36.555266  -110.062512 3.95555555555555
201703sci:/work/03946/hetdex/maverick/20170305/virus/virus0000011/exp03/virus/20170305T105458.2_105LL_sci.fits GN3b_W 367.048309504 400.313516379 57817.4548412552 12.6051 62.149567 322.84628  -110.029024 10.6383333333333
201703sci:/work/03946/hetdex/maverick/20170306/virus/virus0000018/exp03/virus/20170306T093102.8_105LL_sci.fits GN6b_W 367.850192896 401.838830875 57818.3965611518 12.6016 62.187394 323.02828  -110.03321 13.355
201703sci:/work/03946/hetdex/maverick/20170306/virus/virus0000020/exp03/virus/20170306T095642.0_105LL_sci.fits GN5b_W 367.397017856 399.760244917 57818.4143750914 12.6004 62.176678 322.973236  -110.029024 13.2933333333333
201703sci:/work/03946/hetdex/maverick/20170306/virus/virus0000021/exp03/virus/20170306T102442.3_105LL_sci.fits GN1b_W 366.999240192 400.488916622 57818.4338233019 12.6035 62.158606 322.886115  -110.01228 13.1322222222222
