201701sci:/work/03946/hetdex/maverick/20170117/virus/virus0000004/exp03/virus/20170117T020538.4_105LL_sci.fits HF45_W_094 365.19966464 395.061365 57770.0872503892 1.3751 0.154563 207.783358  -110.020652 8.57722222222222
201701sci:/work/03946/hetdex/maverick/20170119/virus/virus0000003/exp03/virus/20170119T020345.8_105LL_sci.fits HF32_W_094_094_W 6.899871488 399.833619 57772.0859468109 1.4036 -0.098885 206.981397  -110.020652 5.66222222222222
201808sci:/work/03946/hetdex/maverick/20180808/virus/virus0000025/exp03/virus/20180808T085235.4_105LL_sci.fits HF00104_E 368.299131392 404.279834371 58338.3698542067 0.454667 -0.15 153.455483 148.692577 -105.000484079123 20.7205555555556
201808sci:/work/03946/hetdex/maverick/20180810/virus/virus0000009/exp03/virus/20180810T092822.6_105LL_sci.fits HF00126_E_000_E 547.398352384 582.729206493 58340.3947064569 0.850667 -0.15 153.127723 148.293121 -105.013521179557 18.7366666666667
201808sci:/work/03946/hetdex/maverick/20180810/virus/virus0000010/exp03/virus/20180810T095650.8_105LL_sci.fits HF00154_E 366.948427008 402.205926482 58340.4144772668 1.354667 -0.15 153.127723 148.293121 -105.000484079123 18.6222222222222
201808sci:/work/03946/hetdex/maverick/20180810/virus/virus0000011/exp03/virus/20180810T101852.1_105LL_sci.fits HF00180_E 28.548590848 63.231049687 58340.429770798 1.822667 -0.15 153.127723 148.293121 -104.983101278543 18.3938888888889
201808sci:/work/03946/hetdex/maverick/20180814/virus/virus0000008/exp03/virus/20180814T093843.6_105LL_sci.fits HF00151_E_000_E 367.498383616 402.758638781 58344.4018936753 1.300667 -0.15 153.144266 148.313293 -105.013521179557 16.4216666666667
201808sci:/work/03946/hetdex/maverick/20180814/virus/virus0000009/exp03/virus/20180814T100517.2_105LL_sci.fits HF00179_E 548.348590848 584.081192996 58344.4203387974 -999999.9 -999999.9 153.144184 148.313193 -105.000484079123 15.8655555555556
201808sci:/work/03946/hetdex/maverick/20180815/virus/virus0000016/exp03/virus/20180815T083257.6_105LL_sci.fits HF00101_E 426.848840704 462.358158033 58345.3562228223 0.400667 -0.15 153.456631 148.693975 -105.000484079123 19.2733333333333
201808sci:/work/03946/hetdex/maverick/20180815/virus/virus0000017/exp03/virus/20180815T085929.7_105LL_sci.fits HF00119_E 427.250045952 462.783087636 58345.3746496453 0.724667 -0.15 153.456631 148.693975 -105.004829779267 18.6227777777778
201808sci:/work/03946/hetdex/maverick/20180815/virus/virus0000018/exp03/virus/20180815T092430.9_105LL_sci.fits HF00143_E 366.700330752 402.283042669 58345.3920246693 1.156667 -0.15 153.456631 148.693975 -105.000484079123 17.6961111111111
201808sci:/work/03946/hetdex/maverick/20180820/virus/virus0000017/exp03/virus/20180820T081944.1_105LL_sci.fits HF00102_E 428.598278912 464.358550015 58350.3470389084 0.418667 -0.15 153.454416 148.691278 -105.009175479412 20.9844444444444
