201701sci:/work/03946/hetdex/maverick/20170108/virus/virus0000009/exp01/virus/20170108T015311.0_105LL_sci.fits parallel 34.899597568 1023.695564 57761.0786000504 1.143931 0.587958 209.074355  -110.108558 3.38
201701sci:/work/03946/hetdex/maverick/20170109/virus/virus0000006/exp01/virus/20170109T014048.5_105LL_sci.fits parallel 34.999547904 1123.695353 57762.070006222 1.085867 -0.184297 206.720447  -110.100186 11.195
201701sci:/work/03946/hetdex/maverick/20170121/virus/virus0000002/exp01/virus/20170121T012234.7_105LL_sci.fits parallel 6.89963264 1073.695424 57774.0573470225 1.534974 0.865044 209.862801  -110.091814 8.97833333333333
201701sci:/work/03946/hetdex/maverick/20170121/virus/virus0000007/exp01/virus/20170121T043629.8_105LL_sci.fits parallel 0 623.694271 57774.1920121037 3.345786 41.525278 274.553518  -110.049954 8.97111111111111
201701sci:/work/03946/hetdex/maverick/20170121/virus/virus0000008/exp01/virus/20170121T044754.8_105LL_sci.fits parallel 0 623.695323 57774.1999404463 3.345786 41.525278 274.553518  -110.01228 8.90777777777778
201701sci:/work/03946/hetdex/maverick/20170121/virus/virus0000014/exp01/virus/20170121T084509.7_105LL_sci.fits parallel -999999.9 423.694828 57774.3646958955 12.159402 10.585653 129.87579  -110.041582 7.04888888888889
201701sci:/work/03946/hetdex/maverick/20170123/virus/virus0000001/exp01/virus/20170123T012157.8_105LL_sci.fits parallel 6.905165824 973.695286 57776.0569193903 1.5349 0.864894 209.861908  -110.062512 4.01777777777778
201701sci:/work/03946/hetdex/maverick/20170123/virus/virus0000007/exp01/virus/20170123T033655.7_105LL_sci.fits parallel 0 323.693976 57776.1506453911 7.764967 31.720436 99.438284  -110.003908 5.29111111111111
201701sci:/work/03946/hetdex/maverick/20170123/virus/virus0000008/exp01/virus/20170123T040636.7_105LL_sci.fits parallel 0 123.693998 57776.1712586572 8.543918 37.137122 92.029198  -109.995536 5.71833333333333
201701sci:/work/03946/hetdex/maverick/20170123/virus/virus0000009/exp01/virus/20170123T043205.2_105LL_sci.fits parallel 0 263.693097 57776.1889496492 8.501778 16.640031 120.237188  -110.029024 5.8
201701sci:/work/03946/hetdex/maverick/20170123/virus/virus0000010/exp01/virus/20170123T051322.9_105LL_sci.fits parallel 0 263.694288 57776.2176261707 8.886718 10.853386 129.371012  -110.029024 6.43555555555555
201701sci:/work/03946/hetdex/maverick/20170123/virus/virus0000011/exp01/virus/20170123T055433.3_105LL_sci.fits parallel 0 323.694461 57776.2462188485 9.236261 5.105981 140.212738  -110.020652 6.25777777777778
201701sci:/work/03946/hetdex/maverick/20170123/virus/virus0000012/exp01/virus/20170123T064606.3_105LL_sci.fits parallel 0 123.69365 57776.2820178997 9.798422 7.400622 135.596469  -110.008094 5.99833333333333
201701sci:/work/03946/hetdex/maverick/20170123/virus/virus0000013/exp01/virus/20170123T083452.3_105LL_sci.fits parallel 0 923.694018 57776.3575499328 12.8642 24.047242 109.832404  -110.062512 5.71611111111111
201701sci:/work/03946/hetdex/maverick/20170123/virus/virus0000014/exp01/virus/20170123T093254.5_105LL_sci.fits parallel 0 263.695081 57776.3978539859 8.59963 16.980789 240.27836  -110.024838 6.50166666666666
201701sci:/work/03946/hetdex/maverick/20170123/virus/virus0000015/exp01/virus/20170123T093831.1_105LL_sci.fits parallel 0 263.694873 57776.4017497157 8.59963 16.980789 240.27836  -110.003908 6.53944444444445
201701sci:/work/03946/hetdex/maverick/20170123/virus/virus0000017/exp01/virus/20170123T094411.2_105LL_sci.fits parallel 0 263.693353 57776.4056858169 8.59963 16.980789 240.278434  -110.016466 6.81055555555556
201701sci:/work/03946/hetdex/maverick/20170123/virus/virus0000018/exp01/virus/20170123T100042.9_105LL_sci.fits parallel 0 823.695533 57776.4171639313 9.321652 14.524497 236.554577  -110.070884 6.99333333333333
201701sci:/work/03946/hetdex/maverick/20170123/virus/virus0000019/exp01/virus/20170123T114452.0_105LL_sci.fits parallel 0 923.695537 57776.4894918217 15.951034 25.515058 107.780711  -110.079256 7.47444444444445
201701sci:/work/03946/hetdex/maverick/20170124/virus/virus0000001/exp01/virus/20170124T012741.5_105LL_sci.fits parallel 6.816814336 923.693863 57777.0608975752 1.4069 -0.985539 204.018128  -105.01001 15.3027777777778
201701sci:/work/03946/hetdex/maverick/20170124/virus/virus0000006/exp01/virus/20170124T024155.7_105LL_sci.fits parallel 0 623.694524 57777.1124507356 2.641461 2.522081 214.214125  -105.064428 14.7266666666667
201701sci:/work/03946/hetdex/maverick/20170124/virus/virus0000007/exp01/virus/20170124T032158.5_105LL_sci.fits parallel 0 223.694659 57777.1402612897 2.113614 24.919272 251.610999  -105.01001 14.3805555555556
201701sci:/work/03946/hetdex/maverick/20170124/virus/virus0000008/exp01/virus/20170124T035559.0_105LL_sci.fits parallel 0 223.694813 57777.1638781568 2.923921 26.848547 254.197166  -105.03094 14.3872222222222
201701sci:/work/03946/hetdex/maverick/20170124/virus/virus0000009/exp01/virus/20170124T040048.2_105LL_sci.fits parallel 0 223.694999 57777.1672248198 2.923921 26.848547 254.197166  -105.005824 14.5038888888889
201701sci:/work/03946/hetdex/maverick/20170124/virus/virus0000010/exp01/virus/20170124T041626.0_105LL_sci.fits parallel 0 1223.694872 57777.1780795492 3.2841 42.884759 276.64107  -105.05187 14.4355555555556
201701sci:/work/03946/hetdex/maverick/20170124/virus/virus0000011/exp01/virus/20170124T054423.0_105LL_sci.fits parallel 0 1023.694874 57777.2391560585 9.848295 51.477792 68.619726  -105.068614 13.9877777777778
201701sci:/work/03946/hetdex/maverick/20170124/virus/virus0000012/exp01/virus/20170124T064423.4_105LL_sci.fits parallel 0 623.694678 57777.2808270259 9.646156 0.910575 150.482456  -105.060242 14.0366666666667
201701sci:/work/03946/hetdex/maverick/20170124/virus/virus0000015/exp01/virus/20170124T080911.2_105LL_sci.fits parallel 6.851675904 1823.695839 57777.3397135981 10.6138 67.838667 0.01316  -105.110474 13.9538888888889
201701sci:/work/03946/hetdex/maverick/20170124/virus/virus0000016/exp01/virus/20170124T084331.1_105LL_sci.fits parallel 6.851675904 1823.695678 57777.363554541 10.6089 67.839106 0.01316  -104.830012 14.0327777777778
201701sci:/work/03946/hetdex/maverick/20170124/virus/virus0000017/exp01/virus/20170124T094702.8_105LL_sci.fits parallel 6.851675904 223.695181 57777.4076718017 14.390992 50.952781 69.666584  -105.001638 14.1677777777778
201701sci:/work/03946/hetdex/maverick/20170128/virus/virus0000010/exp01/virus/20170128T075145.0_105LL_sci.fits test_parallel_vrs_primary 24.949928448 55.088098 57781.3276045043 -999999.9 -999999.9 180.005882  -105.022568 -5.64722222222222
201701sci:/work/03946/hetdex/maverick/20170128/virus/virus0000011/exp01/virus/20170128T075429.1_105LL_sci.fits parallel 24.949928448 81.501653 57781.3295038873 -999999.9 -999999.9 180.005882  -104.993266 -5.71888888888889
201702sci:/work/03946/hetdex/maverick/20170203/virus/virus0000011/exp01/virus/20170203T081626.8_093LL_sci.fits parallel 34.850601472 2560.488922 57787.3447548752 12.6301 62.265748 36.613481  -105.085358 12.6716666666667
201702sci:/work/03946/hetdex/maverick/20170203/virus/virus0000012/exp01/virus/20170203T105151.3_093LL_sci.fits parallel 34.850601472 622.684798 57787.4526781752 13.156439 -7.354 180.00321  -105.047684 12.2555555555556
201702sci:/work/03946/hetdex/maverick/20170203/virus/virus0000013/exp01/virus/20170203T110407.3_093LL_sci.fits parallel 34.850601472 622.683221 57787.4611964445 13.156439 -7.354 180.003124  -104.993266 12.3311111111111
201702sci:/work/03946/hetdex/maverick/20170203/virus/virus0000014/exp01/virus/20170203T111522.5_093LL_sci.fits parallel 34.850601472 622.685167 57787.4690104518 13.156439 -7.354 180.003124  -104.976522 12.5144444444444
201702sci:/work/03946/hetdex/maverick/20170203/virus/virus0000015/exp01/virus/20170203T112634.9_093LL_sci.fits parallel 34.850601472 622.685326 57787.4767932449 13.156439 -7.354 180.003124  -105.001638 12.5183333333333
201702sci:/work/03946/hetdex/maverick/20170205/virus/virus0000006/exp01/virus/20170205T043633.0_093LL_sci.fits parallel 34.949462784 1223.694852169 57789.1920492696 4.4888 26.25799 253.357794  -100.053786 13.1088888888889
201702sci:/work/03946/hetdex/maverick/20170205/virus/virus0000007/exp01/virus/20170205T053354.2_093LL_sci.fits parallel 34.949462784 83.694892289 57789.2318776352 10.663988 43.092317 83.325206  -100.011926 13.3072222222222
201702sci:/work/03946/hetdex/maverick/20170205/virus/virus0000008/exp01/virus/20170205T053946.4_093LL_sci.fits parallel 34.949462784 83.695298965 57789.2359537412 10.663988 43.092317 83.325206  -100.00774 13.4461111111111
201702sci:/work/03946/hetdex/maverick/20170205/virus/virus0000009/exp01/virus/20170205T064505.1_093LL_sci.fits parallel 34.949462784 173.69528322 57789.281309376 11.1647 21.727935 113.023458  -100.003554 13.6055555555556
201702sci:/work/03946/hetdex/maverick/20170205/virus/virus0000010/exp01/virus/20170205T075630.4_093LL_sci.fits parallel 34.949462784 1823.693983602 57789.3309074501 10.6141 67.839697 0.012327  -100.07053 13.4472222222222
201702sci:/work/03946/hetdex/maverick/20170205/virus/virus0000011/exp01/virus/20170205T082828.6_093LL_sci.fits parallel 34.949462784 1823.695372818 57789.353109045 10.6141 67.839697 0.012119  -99.848672 13.5388888888889
201702sci:/work/03946/hetdex/maverick/20170205/virus/virus0000013/exp01/virus/20170205T110814.9_093LL_sci.fits parallel 364.849299456 623.694236448 57789.4640616644 11.1524 21.829476 247.143755  -100.024484 12.5472222222222
201702sci:/work/03946/hetdex/maverick/20170205/virus/virus0000014/exp01/virus/20170205T112600.8_093LL_sci.fits parallel 364.849299456 623.694573246 57789.4763990049 11.1598 21.772164 247.062935  -100.016112 12.39
201702sci:/work/03946/hetdex/maverick/20170205/virus/virus0000015/exp01/virus/20170205T115206.7_093LL_sci.fits parallel 364.849299456 623.695446079 57789.4945223234 11.1524 21.829476 247.142731  -100.003554 12.1666666666667
201702sci:/work/03946/hetdex/maverick/20170206/virus/virus0000002/exp01/virus/20170206T074620.8_093LL_sci.fits parallel 65.04918784 2423.693582748 57790.3238524254 12.6135 62.318071 36.352918  -100.053786 13.7783333333333
201702sci:/work/03946/hetdex/maverick/20170206/virus/virus0000003/exp01/virus/20170206T082736.8_093LL_sci.fits parallel 65.04918784 2423.693686715 57790.3525100695 12.6135 62.318071 36.352748  -99.894718 14.0766666666667
