yyyymmdd yyyymm specid ifuslot ifuid
20170103 201701 004 106 033
20170103 201701 008 093 054
20170103 201701 013 103 019
20170103 201701 016 104 026
20170103 201701 017 086 022
20170103 201701 020 095 004
20170103 201701 024 083 023
20170103 201701 025 076 032
20170103 201701 027 085 001
20170103 201701 032 094 028
20170103 201701 037 073 031
20170103 201701 038 096 014
20170103 201701 047 075 075
20170103 201701 051 105 051
20170105 201701 004 106 033
20170105 201701 008 093 054
20170105 201701 013 103 019
20170105 201701 016 104 026
20170105 201701 017 086 022
20170105 201701 020 095 004
20170105 201701 024 083 023
20170105 201701 025 076 032
20170105 201701 027 085 001
20170105 201701 032 094 028
20170105 201701 037 073 031
20170105 201701 038 096 014
20170105 201701 047 075 075
20170105 201701 051 105 051
20170106 201701 004 106 033
20170106 201701 008 093 054
20170106 201701 013 103 019
20170106 201701 016 104 026
20170106 201701 017 086 022
20170106 201701 020 095 004
20170106 201701 024 083 023
20170106 201701 025 076 032
20170106 201701 027 085 001
20170106 201701 032 094 028
20170106 201701 037 073 031
20170106 201701 038 096 014
20170106 201701 047 075 075
20170106 201701 051 105 051
20170107 201701 004 106 033
20170107 201701 008 093 054
20170107 201701 013 103 019
20170107 201701 016 104 026
20170107 201701 017 086 022
20170107 201701 020 095 004
20170107 201701 024 083 023
20170107 201701 025 076 032
20170107 201701 027 085 001
20170107 201701 032 094 028
20170107 201701 037 073 031
20170107 201701 038 096 014
20170107 201701 047 075 075
20170107 201701 051 105 051
20170117 201701 004 106 033
20170117 201701 008 093 054
20170117 201701 013 103 019
20170117 201701 016 104 026
20170117 201701 017 086 022
20170117 201701 020 095 004
20170117 201701 024 083 023
20170117 201701 025 076 032
20170117 201701 027 085 001
20170117 201701 032 094 028
20170117 201701 037 073 031
20170117 201701 038 096 014
20170117 201701 047 075 075
20170117 201701 051 105 051
20170119 201701 004 106 033
20170119 201701 008 093 054
20170119 201701 013 103 019
20170119 201701 016 104 026
20170119 201701 017 086 022
20170119 201701 020 095 004
20170119 201701 024 083 023
20170119 201701 025 076 032
20170119 201701 027 085 001
20170119 201701 032 094 028
20170119 201701 037 073 031
20170119 201701 038 096 014
20170119 201701 047 075 075
20170119 201701 051 105 051
20170124 201701 004 106 033
20170124 201701 008 093 054
20170124 201701 013 103 019
20170124 201701 016 104 026
20170124 201701 017 086 022
20170124 201701 020 095 004
20170124 201701 024 083 023
20170124 201701 025 076 032
20170124 201701 027 085 001
20170124 201701 032 094 028
20170124 201701 037 073 031
20170124 201701 038 096 014
20170124 201701 047 075 075
20170124 201701 051 105 051
20170126 201701 004 106 033
20170126 201701 008 093 054
20170126 201701 013 103 019
20170126 201701 016 104 026
20170126 201701 017 086 022
20170126 201701 020 095 004
20170126 201701 024 083 023
20170126 201701 025 076 032
20170126 201701 027 085 001
20170126 201701 032 094 028
20170126 201701 037 073 031
20170126 201701 038 096 014
20170126 201701 047 075 075
20170126 201701 051 105 051
20170129 201701 004 106 033
20170129 201701 008 093 054
20170129 201701 013 103 019
20170129 201701 016 104 026
20170129 201701 017 086 022
20170129 201701 020 095 004
20170129 201701 024 083 023
20170129 201701 025 076 032
20170129 201701 027 085 001
20170129 201701 032 094 028
20170129 201701 037 073 031
20170129 201701 038 096 014
20170129 201701 047 075 075
20170129 201701 051 105 051
20170130 201701 004 106 033
20170130 201701 008 093 054
20170130 201701 013 103 019
20170130 201701 016 104 026
20170130 201701 017 086 022
20170130 201701 020 095 004
20170130 201701 024 083 023
20170130 201701 025 076 032
20170130 201701 027 085 001
20170130 201701 032 094 028
20170130 201701 037 073 031
20170130 201701 038 096 014
20170130 201701 047 075 075
20170130 201701 051 105 051
20170131 201701 004 106 033
20170131 201701 008 093 054
20170131 201701 013 103 019
20170131 201701 016 104 026
20170131 201701 017 086 022
20170131 201701 020 095 004
20170131 201701 024 083 023
20170131 201701 025 076 032
20170131 201701 027 085 001
20170131 201701 032 094 028
20170131 201701 037 073 031
20170131 201701 038 096 014
20170131 201701 047 075 075
20170131 201701 051 105 051
20170202 201702 008 093 054
20170202 201702 013 103 019
20170202 201702 016 104 026
20170202 201702 017 086 022
20170202 201702 020 095 004
20170202 201702 024 083 023
20170202 201702 025 076 032
20170202 201702 027 085 001
20170202 201702 032 094 028
20170202 201702 037 073 031
20170202 201702 038 096 014
20170202 201702 041 084 015
20170202 201702 047 075 075
20170202 201702 051 105 051
20170205 201702 008 093 054
20170205 201702 016 104 026
20170205 201702 017 086 022
20170205 201702 020 095 004
20170205 201702 024 083 023
20170205 201702 025 076 032
20170205 201702 027 085 001
20170205 201702 037 073 031
20170205 201702 038 096 014
20170205 201702 041 084 015
20170205 201702 047 075 075
20170205 201702 051 105 051
20170221 201702 008 093 054
20170221 201702 013 103 019
20170221 201702 016 104 026
20170221 201702 017 086 022
20170221 201702 020 095 004
20170221 201702 024 083 023
20170221 201702 025 076 032
20170221 201702 027 085 001
20170221 201702 032 094 028
20170221 201702 037 073 031
20170221 201702 038 096 014
20170221 201702 041 084 015
20170221 201702 047 075 075
20170221 201702 051 105 051
20170222 201702 008 093 054
20170222 201702 013 103 019
20170222 201702 016 104 026
20170222 201702 017 086 022
20170222 201702 020 095 004
20170222 201702 024 083 023
20170222 201702 025 076 032
20170222 201702 027 085 001
20170222 201702 032 094 028
20170222 201702 037 073 031
20170222 201702 038 096 014
20170222 201702 041 084 015
20170222 201702 047 075 075
20170222 201702 051 105 051
20170224 201702 008 093 054
20170224 201702 013 103 019
20170224 201702 016 104 026
20170224 201702 017 086 022
20170224 201702 020 095 004
20170224 201702 024 083 023
20170224 201702 025 076 032
20170224 201702 027 085 001
20170224 201702 032 094 028
20170224 201702 037 073 031
20170224 201702 038 096 014
20170224 201702 041 084 015
20170224 201702 047 075 075
20170224 201702 051 105 051
20170225 201702 008 093 054
20170225 201702 013 103 019
20170225 201702 016 104 026
20170225 201702 017 086 022
20170225 201702 020 095 004
20170225 201702 024 083 023
20170225 201702 025 076 032
20170225 201702 027 085 001
20170225 201702 032 094 028
20170225 201702 037 073 031
20170225 201702 038 096 014
20170225 201702 041 084 015
20170225 201702 047 075 075
20170225 201702 051 105 051
20170301 201703 008 093 054
20170301 201703 012 106 033
20170301 201703 013 103 019
20170301 201703 016 104 026
20170301 201703 017 086 022
20170301 201703 020 095 004
20170301 201703 024 083 023
20170301 201703 025 076 032
20170301 201703 027 085 001
20170301 201703 032 094 028
20170301 201703 037 073 031
20170301 201703 038 096 014
20170301 201703 041 084 015
20170301 201703 047 075 075
20170301 201703 051 105 051
20170303 201703 008 093 054
20170303 201703 012 106 033
20170303 201703 013 103 019
20170303 201703 016 104 026
20170303 201703 017 086 022
20170303 201703 020 095 004
20170303 201703 024 083 023
20170303 201703 025 076 032
20170303 201703 027 085 001
20170303 201703 032 094 028
20170303 201703 037 073 031
20170303 201703 038 096 014
20170303 201703 041 084 015
20170303 201703 047 075 075
20170303 201703 051 105 051
20170305 201703 008 093 054
20170305 201703 012 106 033
20170305 201703 013 103 019
20170305 201703 016 104 026
20170305 201703 017 086 022
20170305 201703 020 095 004
20170305 201703 024 083 023
20170305 201703 025 076 032
20170305 201703 027 085 001
20170305 201703 032 094 028
20170305 201703 037 073 031
20170305 201703 038 096 014
20170305 201703 041 084 015
20170305 201703 047 075 075
20170305 201703 051 105 051
20170306 201703 008 093 054
20170306 201703 012 106 033
20170306 201703 013 103 019
20170306 201703 016 104 026
20170306 201703 017 086 022
20170306 201703 020 095 004
20170306 201703 024 083 023
20170306 201703 025 076 032
20170306 201703 027 085 001
20170306 201703 032 094 028
20170306 201703 037 073 031
20170306 201703 038 096 014
20170306 201703 041 084 015
20170306 201703 047 075 075
20170306 201703 051 105 051
20170321 201703 008 093 054
20170321 201703 012 106 033
20170321 201703 013 103 019
20170321 201703 016 104 026
20170321 201703 017 086 022
20170321 201703 020 095 004
20170321 201703 024 083 023
20170321 201703 025 076 032
20170321 201703 027 085 001
20170321 201703 032 094 028
20170321 201703 037 073 031
20170321 201703 038 096 014
20170321 201703 041 084 015
20170321 201703 047 075 075
20170321 201703 051 105 051
20170321 201703 307 074 076
20170322 201703 008 093 054
20170322 201703 012 106 033
20170322 201703 013 103 019
20170322 201703 016 104 026
20170322 201703 017 086 022
20170322 201703 020 095 004
20170322 201703 024 083 023
20170322 201703 025 076 032
20170322 201703 027 085 001
20170322 201703 032 094 028
20170322 201703 037 073 031
20170322 201703 038 096 014
20170322 201703 041 084 015
20170322 201703 047 075 075
20170322 201703 051 105 051
20170322 201703 307 074 076
20170325 201703 008 093 054
20170325 201703 012 106 033
20170325 201703 013 103 019
20170325 201703 016 104 026
20170325 201703 017 086 022
20170325 201703 020 095 004
20170325 201703 024 083 023
20170325 201703 025 076 032
20170325 201703 027 085 001
20170325 201703 032 094 028
20170325 201703 037 073 031
20170325 201703 038 096 014
20170325 201703 041 084 015
20170325 201703 047 075 075
20170325 201703 051 105 051
20170325 201703 307 074 076
20170326 201703 008 093 054
20170326 201703 012 106 033
20170326 201703 013 103 019
20170326 201703 016 104 026
20170326 201703 017 086 022
20170326 201703 020 095 004
20170326 201703 024 083 023
20170326 201703 025 076 032
20170326 201703 027 085 001
20170326 201703 032 094 028
20170326 201703 037 073 031
20170326 201703 038 096 014
20170326 201703 041 084 015
20170326 201703 047 075 075
20170326 201703 051 105 051
20170326 201703 307 074 076
20170327 201703 008 093 054
20170327 201703 012 106 033
20170327 201703 013 103 019
20170327 201703 016 104 026
20170327 201703 017 086 022
20170327 201703 020 095 004
20170327 201703 024 083 023
20170327 201703 025 076 032
20170327 201703 027 085 001
20170327 201703 032 094 028
20170327 201703 037 073 031
20170327 201703 038 096 014
