multiframe start_shot stop_shot num_shots mf_ifu done id
multi_004_106_033_LL 20170103v002 20170131v038 30 multi_004_106_033 False 1
multi_004_106_033_LU 20170103v002 20170131v038 30 multi_004_106_033 False 2
multi_004_106_033_RL 20170103v002 20170131v038 30 multi_004_106_033 False 3
multi_004_106_033_RU 20170103v002 20170131v038 30 multi_004_106_033 False 4
multi_037_073_031_RU 20170103v002 20171123v006 199 multi_037_073_031 False 5
multi_024_083_023_LL 20170103v002 20171124v011 275 multi_024_083_023 False 6
multi_037_073_031_LL 20170103v002 20171124v012 292 multi_037_073_031 False 7
multi_024_083_023_RL 20170103v002 20171124v012 317 multi_024_083_023 False 8
multi_024_083_023_RU 20170103v002 20171124v012 317 multi_024_083_023 False 9
multi_037_073_031_RL 20170103v002 20171124v012 293 multi_037_073_031 False 10
multi_037_073_031_LU 20170103v002 20171124v012 292 multi_037_073_031 False 11
multi_024_083_023_LU 20170103v002 20171124v012 317 multi_024_083_023 False 12
multi_025_076_032_LL 20170103v002 20190325v017 1463 multi_025_076_032 False 13
multi_025_076_032_LU 20170103v002 20190325v017 1463 multi_025_076_032 False 14
multi_025_076_032_RL 20170103v002 20190325v017 1484 multi_025_076_032 False 15
multi_047_075_075_LU 20170103v002 20190325v017 1402 multi_047_075_075 False 16
multi_047_075_075_RL 20170103v002 20190325v017 1402 multi_047_075_075 False 17
multi_027_085_001_RL 20170103v002 20190325v017 1544 multi_027_085_001 False 18
multi_027_085_001_RU 20170103v002 20190325v017 1543 multi_027_085_001 False 19
multi_047_075_075_RU 20170103v002 20190325v017 1241 multi_047_075_075 False 20
multi_047_075_075_LL 20170103v002 20190325v017 1420 multi_047_075_075 False 21
multi_025_076_032_RU 20170103v002 20190325v017 1483 multi_025_076_032 False 22
multi_027_085_001_LU 20170103v002 20190325v017 1544 multi_027_085_001 False 23
multi_027_085_001_LL 20170103v002 20190325v017 1544 multi_027_085_001 False 24
multi_017_086_022_LL 20170103v002 20190325v017 1525 multi_017_086_022 False 25
multi_017_086_022_LU 20170103v002 20190325v017 1525 multi_017_086_022 False 26
multi_017_086_022_RU 20170103v002 20190325v017 1525 multi_017_086_022 False 27
multi_017_086_022_RL 20170103v002 20190325v017 1525 multi_017_086_022 False 28
multi_020_095_004_RL 20170103v002 20200330v019 2761 multi_020_095_004 False 29
multi_020_095_004_RU 20170103v002 20200330v019 2761 multi_020_095_004 False 30
multi_020_095_004_LU 20170103v002 20200330v019 2761 multi_020_095_004 False 31
multi_020_095_004_LL 20170103v002 20200330v019 2761 multi_020_095_004 False 32
multi_008_093_054_LL 20170103v002 20210519v026 4147 multi_008_093_054 False 33
multi_008_093_054_LU 20170103v002 20210519v026 4147 multi_008_093_054 False 34
multi_008_093_054_RU 20170103v002 20210519v026 4152 multi_008_093_054 False 35
multi_008_093_054_RL 20170103v002 20210519v026 4152 multi_008_093_054 False 36
multi_032_094_028_LL 20170103v002 20210810v024 4046 multi_032_094_028 False 37
multi_032_094_028_LU 20170103v002 20210810v024 4046 multi_032_094_028 False 38
multi_032_094_028_RL 20170103v002 20210810v024 4046 multi_032_094_028 False 39
multi_032_094_028_RU 20170103v002 20210810v024 4046 multi_032_094_028 False 40
multi_038_096_014_RU 20170103v002 20210831v012 4254 multi_038_096_014 False 41
multi_038_096_014_LU 20170103v002 20210930v017 4349 multi_038_096_014 False 42
multi_038_096_014_RL 20170103v002 20210930v017 4349 multi_038_096_014 False 43
multi_038_096_014_LL 20170103v002 20210930v017 4349 multi_038_096_014 False 44
multi_016_104_026_LL 20170103v002 20211207v025 4680 multi_016_104_026 False 45
multi_016_104_026_LU 20170103v002 20211207v025 4689 multi_016_104_026 False 46
multi_016_104_026_RL 20170103v002 20211207v025 4638 multi_016_104_026 False 47
multi_016_104_026_RU 20170103v002 20211207v025 4680 multi_016_104_026 False 48
multi_051_105_051_LU 20170103v002 20211208v026 4441 multi_051_105_051 False 49
multi_051_105_051_RL 20170103v002 20220328v029 4794 multi_051_105_051 False 50
multi_051_105_051_RU 20170103v002 20220328v029 4794 multi_051_105_051 False 51
multi_051_105_051_LL 20170103v002 20220328v029 4794 multi_051_105_051 False 52
multi_013_103_019_LL 20170103v002 20220705v008 5504 multi_013_103_019 False 53
multi_013_103_019_LU 20170103v002 20220705v008 5334 multi_013_103_019 False 54
multi_013_103_019_RU 20170103v002 20220705v008 5504 multi_013_103_019 False 55
multi_013_103_019_RL 20170103v002 20220705v008 5504 multi_013_103_019 False 56
multi_041_084_015_LL 20170202v002 20190325v017 1502 multi_041_084_015 False 57
multi_041_084_015_LU 20170202v002 20190325v017 1502 multi_041_084_015 False 58
multi_041_084_015_RL 20170202v002 20190325v017 1502 multi_041_084_015 False 59
multi_041_084_015_RU 20170202v002 20190325v017 1502 multi_041_084_015 False 60
multi_012_106_033_LL 20170301v006 20210304v019 3859 multi_012_106_033 False 61
multi_012_106_033_LU 20170301v006 20210304v019 3859 multi_012_106_033 False 62
multi_012_106_033_RL 20170301v006 20210304v019 3859 multi_012_106_033 False 63
multi_012_106_033_RU 20170301v006 20210304v019 3859 multi_012_106_033 False 64
multi_307_074_076_RL 20170321v012 20190325v017 1463 multi_307_074_076 False 65
multi_307_074_076_RU 20170321v012 20190325v017 1462 multi_307_074_076 False 66
multi_307_074_076_LL 20170321v012 20190325v017 1463 multi_307_074_076 False 67
multi_307_074_076_LU 20170321v012 20190325v017 1463 multi_307_074_076 False 68
multi_305_045_056_RU 20170820v006 20180717v013 731 multi_305_045_056 False 69
multi_305_045_056_LU 20170820v006 20180717v013 731 multi_305_045_056 False 70
multi_305_045_056_LL 20170820v006 20180717v013 731 multi_305_045_056 False 71
multi_305_045_056_RL 20170820v006 20180717v013 731 multi_305_045_056 False 72
multi_202_044_074_RL 20170820v006 20180717v013 563 multi_202_044_074 False 73
multi_202_044_074_LU 20170820v006 20180717v013 563 multi_202_044_074 False 74
multi_202_044_074_LL 20170820v006 20180717v013 563 multi_202_044_074 False 75
multi_202_044_074_RU 20170820v006 20180717v013 563 multi_202_044_074 False 76
multi_306_043_057_LL 20170920v008 20180717v013 586 multi_306_043_057 False 77
multi_306_043_057_LU 20170920v008 20180717v013 586 multi_306_043_057 False 78
multi_306_043_057_RL 20170920v008 20180717v013 586 multi_306_043_057 False 79
multi_306_043_057_RU 20170920v008 20180717v013 586 multi_306_043_057 False 80
multi_310_033_002_LU 20170920v008 20240731v009 7011 multi_310_033_002 False 81
multi_310_033_002_RU 20170920v008 20240731v009 7011 multi_310_033_002 False 82
multi_310_033_002_RL 20170920v008 20240731v009 6938 multi_310_033_002 False 83
multi_310_033_002_LL 20170920v008 20240731v009 7011 multi_310_033_002 False 84
multi_309_046_005_LU 20170920v008 20240731v009 7012 multi_309_046_005 False 85
multi_309_046_005_RL 20170920v008 20240731v009 7012 multi_309_046_005 False 86
multi_309_046_005_LL 20170920v008 20240731v009 7012 multi_309_046_005 False 87
multi_309_046_005_RU 20170920v008 20240731v009 7012 multi_309_046_005 False 88
multi_304_034_003_LL 20171012v014 20180717v013 700 multi_304_034_003 False 89
multi_304_034_003_LU 20171012v014 20180717v013 700 multi_304_034_003 False 90
multi_304_034_003_RL 20171012v014 20180717v013 700 multi_304_034_003 False 91
multi_304_034_003_RU 20171012v014 20180717v013 700 multi_304_034_003 False 92
multi_311_036_053_RU 20171024v007 20180717v013 631 multi_311_036_053 False 93
multi_313_037_010_RL 20171024v007 20180717v013 640 multi_313_037_010 False 94
multi_313_037_010_LU 20171024v007 20180717v013 640 multi_313_037_010 False 95
multi_313_037_010_RU 20171024v007 20180717v013 640 multi_313_037_010 False 96
multi_311_036_053_RL 20171024v007 20180717v013 631 multi_311_036_053 False 97
multi_313_037_010_LL 20171024v007 20180717v013 640 multi_313_037_010 False 98
multi_311_036_053_LL 20171024v007 20180717v013 631 multi_311_036_053 False 99
multi_302_035_041_RU 20171024v007 20180717v013 619 multi_302_035_041 False 100
multi_302_035_041_RL 20171024v007 20180717v013 619 multi_302_035_041 False 101
multi_302_035_041_LU 20171024v007 20180717v013 619 multi_302_035_041 False 102
multi_302_035_041_LL 20171024v007 20180717v013 619 multi_302_035_041 False 103
multi_311_036_053_LU 20171024v007 20180717v013 631 multi_311_036_053 False 104
multi_316_032_052_RL 20171110v003 20180717v013 588 multi_316_032_052 False 105
multi_316_032_052_LU 20171110v003 20180717v013 588 multi_316_032_052 False 106
multi_316_032_052_LL 20171110v003 20180717v013 588 multi_316_032_052 False 107
multi_312_047_065_RU 20171110v003 20180717v013 483 multi_312_047_065 False 108
