# IFUSLOT X_FP   Y_FP   SPECID SPECSLOT IFUID IFUROT PLATESC
000    0.00     0.00  900 900 900 0.0 1.0
015 -449.85  -50.40 901 233 938 0.0 1.0
021 -349.91  350.21 315 218 073 0.0 1.0
022 -349.92  249.98 316 247 052 0.0 1.0
023 -350.17  150.05 313 255 010 0.0 1.0
024 -349.88   49.99 317 234 039 0.0 1.0
025 -349.93  -50.16 303 254 013 0.0 1.0
026 -349.78 -150.26 318 244 078 0.0 1.0
027 -349.89 -250.32 314 253 011 0.0 1.0
032 -250.02  250.06 320 236 020 0.0 1.0
033 -249.80  149.93 310 257 002 0.0 1.0
034 -250.36   50.31 305 248 056 0.0 1.0
035 -249.74  -49.98 202 238 074 0.0 1.0
036 -249.73 -150.01 302 235 041 0.0 1.0
037 -249.71 -250.34 306 228 057 0.0 1.0
042 -149.99  250.01 321 243 030 0.0 1.0
043 -149.99  150.27 323 231 040 0.0 1.0
044 -149.80   50.10 304 256 045 0.0 1.0
045 -149.75  -49.91 312 237 065 0.0 1.0
046 -149.67 -150.16 309 258 005 0.0 1.0
047 -149.72 -250.26 308 227 024 0.0 1.0
052  -50.04  249.89 301 233 072 0.0 1.0
053  -49.79  150.00 311 245 025 0.0 1.0
057  -49.74 -250.32 908 222 924 0.0 1.0
062   50.31  250.13 324 156 055 0.0 1.0
063   50.28  150.22 322 128 062 0.0 1.0
072  150.51  250.08 325 147 044 0.0 1.0
073  150.38  150.21 203 151 031 0.0 1.0
074  150.51   50.03 307 131 076 0.0 1.0
075  149.73  -49.90 047 132 075 0.0 1.0
076  150.18 -150.00 025 154 032 0.0 1.0
077  150.38 -250.02 204 145 037 0.0 1.0
082  250.40  250.05 326 146 034 0.0 1.0
083  250.27  150.05 319 137 023 0.0 1.0
084  250.15   49.93 041 152 015 0.0 1.0
085  250.13  -50.07 027 122 001 0.0 1.0
086  250.32 -150.09 017 135 022 0.0 1.0
092  350.26  249.97 327 118 017 0.0 1.0
093  349.69  148.68 008 157 054 0.0 1.0
094  350.61   50.23 032 155 028 0.0 1.0
095  350.33  -49.27 020 158 004 0.0 1.0
096  350.44 -150.05 038 134 014 0.0 1.0
103  450.29  150.13 013 152 019 0.0 1.0
104  450.29   50.07 016 153 026 0.0 1.0
105  450.55  -49.89 051 138 051 0.0 1.0
106  450.41 -149.99 012 136 033 0.0 1.0
