# IFUSLOT X_FP   Y_FP   SPECID SPECSLOT IFUID IFUROT PLATESC
000    0.00     0.00  900 900 900 0.0 1.0
015 -449.909 -50.3109 901 233 938 0.0 1.0
021 -350.0  350.0   315 218 073 0.0 1.0
022 -349.939 250.07 316 247 052 0.0 1.0
023 -349.916 150.097 313 255 010 0.0 1.0
024 -350.004 50.1272 317 234 039 0.0 1.0
025 -350.0    -50.0   303 254 013 0.0 1.0
026 -349.892 -150.174 318 244 078 0.0 1.0
027 -349.938 -250.267 314 253 011 0.0 1.0
032 -249.705 250.089 320 236 020 0.0 1.0
033 -251.396 151.607 310 257 002 0.0 1.0
034 -249.996 50.068 305 248 056 0.0 1.0
035 -249.795 -49.8797 202 238 074 0.0 1.0
036 -249.884 -150.214 302 235 041 0.0 1.0
037 -250.159 -250.311 306 228 057 0.0 1.0
042 -149.679 250.028 321 243 030 0.0 1.0
043 -149.702 150.025 323 231 040 0.0 1.0
044 -149.796 50.2565 304 256 045 0.0 1.0
045 -150.196 -50.1702 312 237 065 0.0 1.0
046 -149.7 -150.145 309 258 005 0.0 1.0
047 -149.717 -250.011 308 227 024 0.0 1.0
052 -49.8287 250.059 301 233 072 0.0 1.0
053 -49.8494 150.019 311 245 025 0.0 1.0
057 -49.8137 -250.268 908 222 924 0.0 1.0
062 50.1712 250.082 324 156 055 0.0 1.0
063 50.2213 150.194 322 128 062 0.0 1.0
072 150.441 250.065 325 147 044 0.0 1.0
073 150.275 150.185 203 151 031 0.0 1.0
074 150.408 50.0115 307 131 076 0.0 1.0
075 149.722 -49.9397 047 132 075 0.0 1.0
076 150.126 -150.034 025 154 032 0.0 1.0
077 150.424 -249.963 204 145 037 0.0 1.0
082 250.219 250.078 326 146 034 0.0 1.0
083 250.247 149.982 319 137 023 0.0 1.0
084 250.115 49.8081 041 152 015 0.0 1.0
085 250.085 -50.1847 027 122 001 0.0 1.0
086 250.285 -150.139 017 135 022 0.0 1.0
092 350.352 249.73 327 118 017 0.0 1.0
093 349.593 148.723 008 157 054 0.0 1.0
094 350.47 50.2381 032 155 028 0.0 1.0
095 350.183 -49.3191 020 158 004 0.0 1.0
096 350.232 -150.065 038 134 014 0.0 1.0
103 450.248 149.994 013 152 019 0.0 1.0
104 450.217 50.029 016 153 026 0.0 1.0
105 450.321 -50.174 051 138 051 0.0 1.0
106 450.244 -150.089 012 136 033 0.0 1.0
# 013   -450.0  150.0   00      000     000     0.0     1.0
# 014   -450.0  50.0    00      000     000     0.0     1.0
# 016   -450.0  -150.0  00      000     000     0.0     1.0
# 028   -350.0  -350.0  00      000     000     0.0     1.0
# 030   -250.0  450.0   00      000     000     0.0     1.0
# 031   -250.0  350.0   00      000     000     0.0     1.0
# 038   -250.0  -350.0  00      000     000     0.0     1.0
# 039   -250.0  -450.0  00      000     000     0.0     1.0
# 040   -150.0  450.0   00      000     000     0.0     1.0
# 041   -150.0  350.0   00      000     000     0.0     1.0
# 048   -150.0  -350.0  00      000     000     0.0     1.0
# 049   -150.0  -450.0  00      000     000     0.0     1.0
# 050   -50.0   450.0   00      000     000     0.0     1.0
# 051   -50.0   350.0   00      000     000     0.0     1.0
# 058   -50.0   -350.0  00      000     000     0.0     1.0
# 059   -50.0   -450.0  00      000     000     0.0     1.0
# 060   50.0    450.0   00      000     000     0.0     1.0
# 061   50.0    350.0   00      000     000     0.0     1.0
# 067   50.0    -250.0  00      000     000     0.0     1.0
# 068   50.0    -350.0  00      000     000     0.0     1.0
# 069   50.0    -450.0  00      000     000     0.0     1.0
# 070   150.0   450.0   00      000     000     0.0     1.0
# 071   150.0   350.0   00      000     000     0.0     1.0
# 078   150.0   -350.0  00      000     000     0.0     1.0
# 079   150.0   -450.0  00      000     000     0.0     1.0
# 080   250.0   450.0   00      000     000     0.0     1.0
# 081   250.0   350.0   00      000     000     0.0     1.0
# 087   250.0   -250.0  00      000     000     0.0     1.0
# 088   250.0   -350.0  00      000     000     0.0     1.0
# 089   250.0   -450.0  00      000     000     0.0     1.0
# 091   350.0   350.0   00      000     000     0.0     1.0
# 097   350.0   -250.0  00      000     000     0.0     1.0
# 098   350.0   -350.0  00      000     000     0.0     1.0
