# IFUSLOT X_FP   Y_FP   SPECID SPECSLOT IFUID IFUROT PLATESC
000    0.00     0.00  900 900 900 0.0 1.0
015 -449.85  -50.40 901 233 938 0.0 1.0
021 -350.00  350.00 315 218 073 0.0 1.0
022 -349.97  249.98 316 247 052 0.0 1.0
023 -349.91  150.01 313 255 010 0.0 1.0
024 -350.05   49.97 317 234 039 0.0 1.0
025 -350.00  -50.00 303 254 013 0.0 1.0
026 -349.76 -150.24 318 244 078 0.0 1.0
027 -349.85 -250.34 314 253 011 0.0 1.0
032 -249.85  250.01 320 236 020 0.0 1.0
033 -251.41  151.53 310 257 002 0.0 1.0
034 -250.00   49.96 305 248 056 0.0 1.0
035 -249.73  -50.04 202 238 074 0.0 1.0
036 -249.83 -150.29 302 235 041 0.0 1.0
037 -250.07 -250.34 306 228 057 0.0 1.0
042 -149.78  250.08 321 243 030 0.0 1.0
043 -149.79  149.99 323 231 040 0.0 1.0
044 -149.85   50.11 304 256 045 0.0 1.0
045 -150.20  -50.20 312 237 065 0.0 1.0
046 -149.67 -150.19 309 258 005 0.0 1.0
047 -149.71 -250.09 308 227 024 0.0 1.0
052  -49.93  250.06 301 233 072 0.0 1.0
053  -49.85  150.05 311 245 025 0.0 1.0
057  -49.74 -250.32 908 222 924 0.0 1.0
062   50.18  250.12 324 156 055 0.0 1.0
063   50.18  150.13 322 128 062 0.0 1.0
072  150.40  250.09 325 147 044 0.0 1.0
073  150.26  150.20 203 151 031 0.0 1.0
074  150.44   50.02 307 131 076 0.0 1.0
075  149.72  -49.94 047 132 075 0.0 1.0
076  150.20 -149.97 025 154 032 0.0 1.0
077  150.34 -249.98 204 145 037 0.0 1.0
082  250.31  250.18 326 146 034 0.0 1.0
083  250.21  150.10 319 137 023 0.0 1.0
084  250.11   49.92 041 152 015 0.0 1.0
085  250.11  -50.12 027 122 001 0.0 1.0
086  250.36 -150.04 017 135 022 0.0 1.0
092  350.27  250.00 327 118 017 0.0 1.0
093  349.60  148.70 008 157 054 0.0 1.0
094  350.56   50.29 032 155 028 0.0 1.0
095  350.19  -49.31 020 158 004 0.0 1.0
096  350.32 -149.95 038 134 014 0.0 1.0
103  450.24  150.17 013 152 019 0.0 1.0
104  450.26   50.12 016 153 026 0.0 1.0
105  450.50  -49.92 051 138 051 0.0 1.0
106  450.32 -149.96 012 136 033 0.0 1.0
